Mortality,DAP Person,Amount of employed people,% basic education,CD_MUN,NM_MUN
-12.17346278,-2.777777778,62.97520661,30.23728814,2500304,Alagoa Grande
-46.45811313,-8.789808917,16.61490683,23.84806974,2500502,Alagoinha
99.18067227,-47.33944954,52.93356342,16.10619469,2500601,Alhandra
-49.30242858,-34.56505004,-13.7962963,29.56228956,2500809,AraÃ§agi
-0.794700409,-23.56828194,7.807807808,21.70447578,2501104,Areia
66.04967719,-19.99280834,51.7281106,20.99447514,2501302,Aroeiras
78.19085009,182.6315789,27.42537313,15.81120944,2501401,BaÃ­a da TraiÃ§Ã£o
-4.333765496,-53.9478802,23.70723946,24.55327598,2501500,Bananeiras
37.23630562,30,20.86386003,25.28809219,2501807,Bayeux
-33.30897088,-24.27821522,66.83621567,21.92816635,2501906,BelÃ©m
0,-60.07604563,6.547619048,30.08849558,2502706,Borborema
179.8564447,-49.40617577,0.696316262,21.14673243,2503001,CaaporÃ£
-34.82423707,-59.44055944,85.42303772,22.29179712,2503209,Cabedelo
-44.29781636,-44.92254733,6.526806527,9.656004828,2503605,CaiÃ§ara
-81.25366404,-59.28571429,45.25547445,3.128834356,2503803,Caldas BrandÃ£o
-42.7569919,64.57142857,96.44128114,33.58310627,2504033,Capim
51.80429607,-13.60347323,105.60249,34.07407407,2504603,Conde
87.73420037,-70.33898305,29.03563941,8.807669263,2504900,Cruz do EspÃ­rito Santo
-32.4905851,23.33333333,29.17705736,20.91743119,2505204,Cuitegi
0,83.44370861,-9.902912621,29.20984456,2505238,CuitÃ© de Mamanguape
0,-58.92255892,-0.847457627,25.45219638,2505279,Curral de Cima
168.3014899,-36.99369937,54.84764543,15.97908193,2505709,Dona InÃªs
304.6674913,-59.9009901,102.8301887,24.54026633,2505808,Duas Estradas
-19.89283116,-14.99448732,65.55989583,9.758897819,2506301,Guarabira
79.99676323,-56.71091445,31.78571429,10.46770601,2506400,GurinhÃ©m
45.05807494,-60.88595664,65.82914573,45.02196193,2506806,IngÃ¡
-39.9902076,-51.79948586,9.932821497,17.18088324,2506905,Itabaiana
0.175068838,16.8699187,23.97119342,25.38461538,2507101,Itapororoca
30.28052637,-55.70522979,72.29166667,25.4568368,2507200,Itatuba
-38.5193541,1.342281879,47.26426077,15.68509615,2507309,JacaraÃº
4.177490427,-42.10526316,28.8605166,16.49731022,2507507,JoÃ£o Pessoa
-6.010144333,-74.34331093,38.04627249,30.69306931,2507606,Juarez TÃ¡vora
90.35318205,-22.72727273,54.45205479,28.03374432,2507903,Juripiranga
33.66891205,17.48526523,36.5470852,25.07956715,2508208,Lagoa de Dentro
81.99306213,-47.83715013,-20.49180328,6.171490989,2508554,Logradouro
-23.13157718,-37.67123288,70.58823529,34.80578827,2508604,Lucena
-50.10140221,-50,64.78778352,16.92888609,2508901,Mamanguape
18.54820301,29.004329,50.77720207,8.469449486,2509057,MarcaÃ§Ã£o
-15.95680102,-20.95435685,47.76264591,29.12557528,2509107,Mari
-100,-8.372093023,-9.830508475,38.5620915,2509305,Mataraca
-21.64255231,-51.21506683,86.81672026,34.39620081,2509404,Mogeiro
7.581137703,-18.60465116,24.27536232,27.19745223,2509800,Mulungu
-43.84883598,-40.55666004,69.43820225,19.18142944,2509909,Natuba
-10.2886406,-10.59670782,2.306390182,25.17219787,2511202,Pedras de Fogo
275.6332301,-65.28384279,139.5744681,25.01607717,2511509,Pilar
40.22608857,-30.29411765,78.84615385,15.3980244,2511608,PilÃµes
3.596881242,6.206896552,0.666666667,17.18845918,2511707,PilÃµezinhos
-39.93296054,-58.82352941,44.92753623,16.70644391,2511806,Pirpirituba
-23.46174425,-32.32949513,120.2265372,23.57142857,2511905,Pitimbu
-52.66055575,-46.32653061,18.10089021,26.48612946,2512721,Pedro RÃ©gis
0,-37.52417795,33.22884013,16.59799882,2512747,RiachÃ£o
-29.2637167,-39.23541247,190,15.96130593,2512754,RiachÃ£o do Bacamarte
84.7012284,-68.9822294,53.09090909,25.57989691,2512762,RiachÃ£o do PoÃ§o
-41.92206068,6.090909091,96.73428996,23.57992074,2512903,Rio Tinto
-26.01297405,-68.57366771,75.19260401,22.28499686,2513109,Salgado de SÃ£o FÃ©lix
34.50608051,-63.46356917,27.19691705,27.72940388,2513703,Santa Rita
0,-9.187749667,52.94117647,15.95806639,2514453,SÃ£o JosÃ© dos Ramos
81.75974287,-46.10778443,59.7826087,18.51156973,2515005,SÃ£o Miguel de Taipu
-18.32808023,-30.55872292,19.04761905,17.91135398,2515302,SapÃ©
0,-5.314009662,32.56704981,0.745412844,2515609,Serra da Raiz
40.17935196,-32.96041308,19.79865772,23.7074401,2515807,Serra Redonda
70.46702154,-38.94472362,-13.75921376,46.884273,2515906,Serraria
-47.51243781,-35.62874251,37.85488959,12.67928858,2515930,SertÃ£ozinho
89.46398289,-21.62162162,46.65012407,38.81343817,2515971,Sobrado
41.07596398,6.451612903,25.58635394,18.97856242,2516409,Tacima
-37.43220208,-34.58029197,68.92523364,16.09529343,2517001,Umbuzeiro
